cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume
8.1312,-inf,8.1334,-inf,8.1325,4.6993,8.1324,4.6993,8.1314,5.0433,8.1333,5.3051,2016-04-29 11:57:42.101000$$2016-04-29 12:02:42.102
8.1312,-inf,8.1335,-inf,8.1322,4.9217,8.1322,4.9217,8.1314,5.0342,8.1334,5.1498,2016-04-29 12:02:42.102000$$2016-04-29 12:07:42.809
8.1488,-inf,8.155,-inf,8.1511,4.8563,8.1507,4.8543,8.1501,5.289,8.1545,5.1399,2016-04-29 12:07:42.809000$$2016-04-29 12:12:45.891
8.1544,-inf,8.1588,-inf,8.1569,5.1043,8.1568,5.1043,8.1547,5.3588,8.1587,5.323,2016-04-29 12:12:45.891000$$2016-04-29 12:17:46.215
8.1543,-inf,8.1576,-inf,8.156,5.1925,8.156,5.1925,8.1545,5.5829,8.1573,5.0398,2016-04-29 12:17:46.215000$$2016-04-29 12:22:47.914
8.1528,-inf,8.157,-inf,8.1544,4.6022,8.1544,4.6022,8.1526,5.516,8.1559,4.837,2016-04-29 12:22:47.914000$$2016-04-29 12:27:51.785
8.1502,-inf,8.1542,-inf,8.1526,4.5163,8.1525,4.5163,8.1499,5.3511,8.1537,5.0188,2016-04-29 12:27:51.785000$$2016-04-29 12:32:54.477
8.1501,-inf,8.1553,-inf,8.1523,4.374,8.1523,4.374,8.1504,5.5362,8.154,5.3695,2016-04-29 12:32:54.477000$$2016-04-29 12:37:54.980
8.1481,-inf,8.1514,-inf,8.1499,4.7486,8.1494,4.7486,8.1482,5.3431,8.151,5.2589,2016-04-29 12:37:54.980000$$2016-04-29 12:42:55.338
8.1465,-inf,8.1496,-inf,8.1481,4.4305,8.1481,4.4305,8.1464,5.371,8.1492,5.1415,2016-04-29 12:42:55.338000$$2016-04-29 12:47:59.549
8.1453,-inf,8.1482,-inf,8.147,4.3431,8.147,4.3449,8.1455,5.1559,8.148,5.0468,2016-04-29 12:47:59.549000$$2016-04-29 12:52:59.778
8.1468,-inf,8.1498,-inf,8.1484,4.4287,8.1484,4.4248,8.147,5.2863,8.1497,5.1761,2016-04-29 12:52:59.778000$$2016-04-29 12:58:06.124
8.1469,-inf,8.1498,-inf,8.1485,4.5583,8.1485,4.5583,8.1471,5.1539,8.1497,5.1203,2016-04-29 12:58:06.124000$$2016-04-29 13:03:07.898
8.1488,-inf,8.1516,-inf,8.1503,4.3184,8.1503,4.3184,8.1491,5.0742,8.1517,5.2918,2016-04-29 13:03:07.898000$$2016-04-29 13:08:08.048
8.1501,-inf,8.153,-inf,8.1513,4.3538,8.1513,4.3538,8.15,5.3781,8.1527,5.0219,2016-04-29 13:08:08.048000$$2016-04-29 13:13:08.551
8.1486,-inf,8.1523,-inf,8.1501,4.4553,8.1501,4.4553,8.1483,5.3767,8.1515,4.8555,2016-04-29 13:13:08.551000$$2016-04-29 13:18:12.601
8.1473,-inf,8.1511,-inf,8.1483,4.0481,8.1483,4.0481,8.1468,5.3739,8.1502,4.9346,2016-04-29 13:18:12.601000$$2016-04-29 13:23:13.044
8.1464,-inf,8.1499,-inf,8.1477,4.5733,8.1477,4.5733,8.1462,5.4693,8.1494,4.9878,2016-04-29 13:23:13.044000$$2016-04-29 13:28:13.940
8.1488,-inf,8.1513,-inf,8.1498,5.035,8.1497,5.035,8.149,5.4341,8.1514,5.4899,2016-04-29 13:28:13.940000$$2016-04-29 13:33:13.984
8.148,-inf,8.1509,-inf,8.1494,5.1227,8.1494,5.1227,8.148,5.7114,8.1507,5.8205,2016-04-29 13:33:13.984000$$2016-04-29 13:38:13.998
8.1505,-inf,8.1535,-inf,8.1519,5.2573,8.1519,5.2573,8.1505,5.8125,8.1534,5.9008,2016-04-29 13:38:13.998000$$2016-04-29 13:43:14.100
8.1468,-inf,8.15,-inf,8.1481,4.6021,8.1481,4.6021,8.1464,6.1818,8.1493,6.0552,2016-04-29 13:43:14.100000$$2016-04-29 13:48:14.306
8.145,-inf,8.1477,-inf,8.1467,4.9381,8.1466,4.9381,8.145,5.8111,8.1475,6.0278,2016-04-29 13:48:14.306000$$2016-04-29 13:53:14.339
8.1436,-inf,8.1463,-inf,8.145,4.3309,8.145,4.3309,8.1436,5.9055,8.1461,5.949,2016-04-29 13:53:14.339000$$2016-04-29 13:58:14.452
8.1415,-inf,8.1442,-inf,8.1428,5.0643,8.1428,5.0643,8.1413,5.9244,8.144,5.7139,2016-04-29 13:58:14.452000$$2016-04-29 14:03:15.658
8.1407,-inf,8.1434,-inf,8.142,4.7059,8.142,4.7059,8.1407,5.9396,8.1434,5.8499,2016-04-29 14:03:15.658000$$2016-04-29 14:08:15.847
8.1421,-inf,8.1452,-inf,8.1434,4.9265,8.1434,4.9265,8.1427,5.6873,8.1453,6.0062,2016-04-29 14:08:15.847000$$2016-04-29 14:13:16.171
8.1442,-inf,8.1469,-inf,8.1457,4.805,8.1457,4.805,8.1445,5.5464,8.147,5.7172,2016-04-29 14:13:16.171000$$2016-04-29 14:18:16.213
8.1454,-inf,8.1479,-inf,8.1465,4.6611,8.1465,4.6611,8.1456,5.3799,8.148,5.6387,2016-04-29 14:18:16.213000$$2016-04-29 14:23:16.224
8.1454,-inf,8.1478,-inf,8.1463,4.611,8.1463,4.611,8.1453,5.8117,8.1476,5.6539,2016-04-29 14:23:16.224000$$2016-04-29 14:28:17.378
8.1441,-inf,8.1466,-inf,8.1452,5.0471,8.1452,5.0471,8.1441,5.7845,8.1464,5.9816,2016-04-29 14:28:17.378000$$2016-04-29 14:33:17.389
8.1442,-inf,8.1464,-inf,8.1454,5.0748,8.1438,5.0748,8.1444,5.6854,8.1465,5.9941,2016-04-29 14:33:17.389000$$2016-04-29 14:38:17.467
8.1449,-inf,8.1472,-inf,8.1459,4.8944,8.1459,4.8944,8.145,5.6221,8.147,5.7635,2016-04-29 14:38:17.467000$$2016-04-29 14:43:17.579
8.1426,-inf,8.145,-inf,8.1437,5.0258,8.1437,5.0258,8.1423,5.9232,8.1447,5.8562,2016-04-29 14:43:17.579000$$2016-04-29 14:48:18.891
8.1396,-inf,8.1423,-inf,8.1411,4.6163,8.1411,4.6163,8.1393,6.2088,8.1418,5.9958,2016-04-29 14:48:18.891000$$2016-04-29 14:53:19.066
8.1356,-inf,8.1382,-inf,8.1366,5.2859,8.1366,5.2859,8.1356,5.78,8.1382,5.8049,2016-04-29 14:53:19.066000$$2016-04-29 14:58:19.152
8.1363,-inf,8.1389,-inf,8.1375,4.53,8.1375,4.53,8.1362,5.8763,8.1386,5.8005,2016-04-29 14:58:19.152000$$2016-04-29 15:03:19.166
8.1349,-inf,8.1374,-inf,8.136,4.6492,8.136,4.6492,8.1348,5.7975,8.1372,5.9435,2016-04-29 15:03:19.166000$$2016-04-29 15:08:19.461
8.1325,-inf,8.135,-inf,8.1336,4.9295,8.1336,4.9295,8.1324,5.8892,8.1348,5.7845,2016-04-29 15:08:19.461000$$2016-04-29 15:13:19.614
8.1329,-inf,8.1354,-inf,8.1341,4.8508,8.1341,4.8547,8.1332,5.869,8.1356,5.963,2016-04-29 15:13:19.614000$$2016-04-29 15:18:19.668
8.1345,-inf,8.1369,-inf,8.1355,4.8062,8.1355,4.8062,8.1345,5.738,8.1368,5.931,2016-04-29 15:18:19.668000$$2016-04-29 15:23:20.124
8.1331,-inf,8.1355,-inf,8.134,5.2681,8.134,5.2681,8.133,5.7687,8.1353,5.9316,2016-04-29 15:23:20.124000$$2016-04-29 15:28:20.730
