time_index_volume,nom_exe_buy,nom_exe_sell,nom_new_buy,nom_new_sell,nom_amm_buy,nom_amm_sell,nom_can_buy,nom_can_sell,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume
2016-04-29 07:00:11.102000$$2016-04-29 07:07:12.101,4.058314616,3.156743363,-0.795654163,-2.581027875,0.323912008,1.444933364,-3.09098099,-2.686026688,-0.434180456,-0.81177436,-1.272198995,-1.091531413
2016-04-29 07:07:12.101000$$2016-04-29 07:14:12.734,1.743802991,1.035775681,-2.368831894,-2.45826677,3.495286308,2.878460327,-3.389905222,-2.360159543,-0.714542866,-0.684954334,-1.485422453,-1.468718269
2016-04-29 07:14:12.734000$$2016-04-29 07:21:13.219,-0.420659258,-0.162881951,-0.423279647,0.799286837,1.056438427,-0.062183279,-0.465378461,-0.375332388,-0.816827965,-0.786129799,-0.525858525,-0.515498551
2016-04-29 07:21:13.219000$$2016-04-29 07:28:13.393,-0.979593183,-0.75702925,0.175029969,1.11495825,0.49832306,-0.385977871,0.147878468,0.31590095,-0.950863855,-0.919923539,-0.063514718,-0.056211556
2016-04-29 07:28:13.393000$$2016-04-29 07:35:13.686,-0.266858647,-0.055797263,0.003486653,-0.805376178,1.097134339,0.288103597,-0.946122586,0.335650474,-1.035907316,-1.002574279,-0.828529042,-0.816167945
2016-04-29 07:35:13.686000$$2016-04-29 07:42:13.731,-0.06429199,0.051287424,-0.419095663,-0.581775594,1.364564619,0.255724137,-1.087880469,0.101947774,-0.809125985,-0.777607184,-1.40274254,-1.386584999
2016-04-29 07:42:13.731000$$2016-04-29 07:49:20.427,-0.323127163,-0.128338503,-1.573875061,-0.651924797,1.745362084,1.321302701,-0.42531645,-0.862487311,-0.485502337,-0.458975339,-0.341824844,-0.328397702
2016-04-29 07:49:20.427000$$2016-04-29 07:56:20.610,-0.945832073,-0.981561659,-0.013249281,-0.700152373,0.60006284,1.412553904,0.150960161,-0.118588577,-0.505476457,-0.47666351,0.006031129,0.021982366
2016-04-29 07:56:20.610000$$2016-04-29 08:03:22.474,-1.099632684,-1.081737657,1.137346134,-0.296794457,0.405303832,0.391129148,-0.363682588,0.816222223,-0.67354822,-0.643660015,-0.555938804,-0.545379953
2016-04-29 08:03:22.474000$$2016-04-29 08:10:22.701,-0.750767885,-0.915929108,-0.285208197,0.426619197,0.286122946,-0.232911337,0.523845027,0.816222223,-0.67002816,-0.640182291,-1.631758229,-1.614086538
2016-04-29 08:10:22.701000$$2016-04-29 08:17:24.757,-0.289366054,-0.622309804,-0.645030763,0.023261281,0.582621735,-0.194644703,0.092407992,0.793181112,-0.516402693,-0.488404482,-0.219852795,-0.211515995
2016-04-29 08:17:24.757000$$2016-04-29 08:24:26.815,-0.964588245,-1.116281105,-0.757998313,1.59723402,0.323912008,-0.241742098,1.007670846,0.134863647,-0.383431695,-0.357032729,0.059791417,0.066279333
2016-04-29 08:24:26.815000$$2016-04-29 08:31:28.033,0.044493808,-0.010890781,-1.498563362,-1.3665698,1.678504514,0.308708707,-0.71191391,0.691141905,-0.220599349,-0.195212626,-0.398523454,-0.035577187
2016-04-29 08:31:28.033000$$2016-04-29 08:38:28.163,-0.491932711,-0.639581528,0.371677186,0.544995977,0.818076656,-0.518439294,-0.733485761,0.780014762,-0.264969851,-0.243743679,-0.18316546,-0.703258719
2016-04-29 08:38:28.163000$$2016-04-29 08:45:29.856,-0.829543807,-0.891748695,0.396781085,1.636692946,-1.382409454,0.034955098,1.855136451,-0.418123023,-0.174380077,-0.150495379,1.051696899,1.051626777
2016-04-29 08:45:29.856000$$2016-04-29 08:52:59.100,-0.844548745,-0.978107314,0.647820085,-0.200339303,0.835517761,-0.665618654,-0.668770206,1.826739531,-0.30095063,-0.275543665,-1.069047878,-1.055096578
2016-04-29 08:52:59.100000$$2016-04-29 09:00:01.851,-0.713255541,-0.660307596,-3.523611292,0.865051715,-0.533609,-0.503721358,3.74729602,0.539728888,-0.237238288,-0.218574017,-0.913576956,-1.069926288
2016-04-29 09:00:01.851000$$2016-04-29 09:07:03.225,0.074503683,-0.180153675,2.195893916,-0.301178782,-0.350477395,-1.171915651,-1.30668068,1.7049508,-0.342618229,-0.316710127,-0.713464217,-0.701863878
