cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume,nom_exe_order_buy_price,nom_exe_order_sell_price,nom_exe_order_buy_volume,nom_exe_order_sell_volume
3392.5043,0.0,3403.9802,0.0,3396.1667,98.5833,3396.1667,98.5833,3392.0431,152.2931,3400.5446,185.297,2016-04-29 10:26:57.807000$$2016-04-29 10:31:57.819,0.02139879982002324,0.023408175517396625,-0.1175233101045328,-0.1079985534167086
3390.3034,0.0,3401.399,0.0,3394.7333,133.1333,3394.7333,133.1333,3390.3714,169.4095,3399.7865,229.4792,2016-04-29 10:31:57.819000$$2016-04-29 10:36:58.018,0.017202569458181757,0.019211499221460735,0.9041607397641664,0.9180895321585495
3389.4328,0.0,3400.604,0.0,3394.6364,101.6364,3394.6364,101.6364,3390.987,174.2208,3399.4207,241.3586,2016-04-29 10:36:58.018000$$2016-04-29 10:42:06.254,0.016918897962393865,0.018927797579856083,-0.027239559810636232,-0.01732562913104083
3388.8105,0.0,3399.6068,0.0,3394.8333,94.1667,3394.4167,94.1667,3388.8542,238.4236,3398.0584,153.4745,2016-04-29 10:42:06.254000$$2016-04-29 10:47:12.601,0.017495316099861446,0.018284564858902116,-0.2481273556805121,-0.23916557624599002
3386.3066,0.0,3397.4773,0.0,3391.9286,73.9286,3391.9286,73.9286,3386.0355,179.5674,3394.5929,145.0571,2016-04-29 10:47:12.601000$$2016-04-29 10:52:13.838,0.008991904398985,0.01099996161353049,-0.846591725279578,-0.8402096655276292
3384.5089,0.0,3394.8754,0.0,3389.8511,99.6809,3389.8511,99.6809,3384.5363,166.082,3393.523,211.0954,2016-04-29 10:52:13.838000$$2016-04-29 10:57:14.518,0.002910092918082987,0.004917503817516763,-0.08506598989799491,-0.07540132381533658
3385.2291,0.0,3395.6118,0.0,3391.4167,73.5417,3391.44,71.6,3385.8961,212.3571,3394.1325,205.2715,2016-04-29 10:57:14.518000$$2016-04-29 11:02:16.102,0.007493334340225404,0.009569449517678432,-0.8580328123676879,-0.9093659235904529
3385.0437,0.0,3404.4844,0.0,3398.4324,73.5946,3393.5814,66.5349,3382.9005,331.8824,3399.7512,191.8802,2016-04-29 11:02:16.102000$$2016-04-29 11:07:16.246,0.028031560480565744,0.015838992297164158,-0.8564684972812032,-1.0597925158407349
3385.2381,0.0,3392.0556,0.0,0.0,0.0,0.0,0.0,3385.5,112.875,3392.0857,103.6,2016-04-29 11:07:16.246000$$2016-04-29 11:12:19.509,-9.92076516028291,-9.919812339993532,-3.0327471941398714,-3.035788700064794
3386.75,0.0,3393.7826,0.0,3390.9412,98.1765,3390.9412,98.1765,3386.8291,153.5879,3393.7672,175.0794,2016-04-29 11:12:19.509000$$2016-04-29 11:17:22.053,0.006101324059037188,0.00810907409113199,-0.12955286354842793,-0.12007996103500106
3388.2653,0.0,3394.6686,0.0,3392.0244,87.6341,3392.0244,87.6341,3388.6698,125.7535,3394.6754,163.5654,2016-04-29 11:17:22.053000$$2016-04-29 11:22:22.101,0.009272355681713222,0.0112804426998629,-0.4413040047158889,-0.43317492582135714
