ammend_order_buy_average,ammend_order_sell_average,cancel_order_buy_average,cancel_order_sell_average,execute_order_buy_average,execute_order_sell_average,new_order_buy_average,new_order_sell_average,time_index_volume
-2.2211,-2.165,-0.9871,-0.7716,-3.9703,-4.334,-0.6931,-0.892,2016-04-29 11:32:33.348000$$2016-04-29 11:37:33.550
-1.9795,-2.0009,-0.9029,-0.9234,-3.0673,-3.1313,-0.8918,-0.8582,2016-04-29 11:37:33.550000$$2016-04-29 11:42:36.958
-2.1475,-2.1952,-0.9026,-0.8546,-3.2104,-3.2762,-0.827,-0.8546,2016-04-29 11:42:36.958000$$2016-04-29 11:47:37.445
-2.1494,-1.9343,-0.8357,-0.9551,-3.1711,-3.348,-0.8967,-0.8312,2016-04-29 11:47:37.445000$$2016-04-29 11:52:38.422
-2.1142,-2.0968,-0.9254,-0.872,-3.1401,-3.1954,-0.8218,-0.872,2016-04-29 11:52:38.422000$$2016-04-29 11:57:42.101
-2.2273,-2.4826,-0.9674,-0.9481,-2.3053,-2.4552,-0.8858,-0.8138,2016-04-29 11:57:42.101000$$2016-04-29 12:02:42.102
-2.4233,-2.2297,-0.827,-0.8473,-3.2074,-3.344,-0.8358,-0.8473,2016-04-29 12:02:42.102000$$2016-04-29 12:07:42.809
-2.165,-2.0227,-1.0558,-1.122,-1.8864,-1.8779,-0.9527,-0.9438,2016-04-29 12:07:42.809000$$2016-04-29 12:12:45.891
-2.1309,-1.8076,-0.9852,-1.0774,-2.2956,-2.2145,-0.8984,-0.9512,2016-04-29 12:12:45.891000$$2016-04-29 12:17:46.215
-2.3757,-2.5352,-1.0305,-1.0634,-1.9919,-1.762,-0.8824,-0.9069,2016-04-29 12:17:46.215000$$2016-04-29 12:22:47.914
-2.2456,-1.6756,-0.9187,-1.0683,-2.7064,-2.3314,-0.8478,-0.9888,2016-04-29 12:22:47.914000$$2016-04-29 12:27:51.785
-1.8682,-1.9047,-0.9707,-0.9313,-3.2315,-3.2563,-0.8503,-0.8709,2016-04-29 12:27:51.785000$$2016-04-29 12:32:54.477
-2.5502,-1.7388,-0.824,-1.1198,-2.5037,-2.3854,-0.9126,-0.9018,2016-04-29 12:32:54.477000$$2016-04-29 12:37:54.980
-2.3281,-2.1502,-1.0106,-0.9859,-2.2505,-2.3399,-0.8366,-0.8817,2016-04-29 12:37:54.980000$$2016-04-29 12:42:55.338
